Time,Outage1,Outage2,Outage3,Outage4,Outage5,Outage6,Outage7,Outage8,Outage9,Outage10,Outage11,Outage12,Outage13,Outage14,Outage15,Outage16,Outage17,Outage18,Outage19,Outage20,Outage21,Outage22,Outage23,Outage24,Outage25,Outage26,Outage27,Outage28,Outage29,Outage30,Outage31,Outage32,Outage33,Outage34,Outage35,Outage36,Outage37,Outage38,Outage39,Outage40,Outage41,Outage42,Outage43,Outage44,Outage45,Outage46,Outage47
6.78062,1.022624493,1.023497701,1.019869566,1.022830844,1.023425102,1.022514462,1.023497701,1.02864182,1.019702435,1.017207742,1.020428538,1.029517055,1.023425102,1.016537428,1.020775318,1.02864182,1.018274426,1.023497701,1.027683854,1.02864182,1.030847073,1.020181179,1.023676038,1.035101056,1.025352359,1.01746428,1.025101542,1.021552563,1.016620278,1.02135253,1.022624493,1.025284767,1.020907879,1.016415834,1.019702435,1.023497701,1.015130997,1.01919961,1.026020646,1.022037148,1.020428538,1.025389433,1.029490948,1.019702435,1.012260914,1.02510941,1.030847073
6.78895,1.022565722,1.023924947,1.019855022,1.022691011,1.023335814,1.022506714,1.023924947,1.028552175,1.019671082,1.017163396,1.020385265,1.029421568,1.023335814,1.016818166,1.020722508,1.028552175,1.018240333,1.023924947,1.027615309,1.028552175,1.031092525,1.020143509,1.023622036,1.033731341,1.025287867,1.017421961,1.025033593,1.021503687,1.016595483,1.021291018,1.022565722,1.025206566,1.02126503,1.016631126,1.019671082,1.023924947,1.015113115,1.019158483,1.025890946,1.02199316,1.020385265,1.025322914,1.030048132,1.019671082,1.012251139,1.025042772,1.031092525
6.79728,1.022507071,1.024356842,1.019839048,1.022552133,1.023249745,1.0224998,1.024356842,1.028463244,1.019640088,1.017123461,1.020346284,1.029326797,1.023249745,1.017109752,1.020670056,1.028463244,1.01820612,1.024356842,1.027545571,1.028463244,1.031303763,1.020105481,1.023569584,1.032420516,1.025223732,1.017382026,1.024966359,1.02145493,1.016571403,1.021229625,1.022507071,1.025128484,1.021615863,1.01683414,1.019640088,1.024356842,1.015095115,1.019117236,1.025762916,1.02194953,1.020346284,1.025256634,1.030667067,1.019640088,1.012241483,1.02497673,1.031303763
6.80561,1.022448778,1.024782181,1.019821167,1.022414446,1.023164034,1.022493601,1.024782181,1.02837503,1.019609571,1.017087817,1.020311236,1.02923286,1.023164034,1.017402291,1.020618081,1.02837503,1.018172145,1.024782181,1.027475238,1.02837503,1.031486511,1.020066857,1.023518562,1.031179786,1.025160193,1.017344236,1.024899721,1.021406293,1.01654768,1.021168113,1.022448778,1.025050282,1.021960974,1.01702857,1.019609571,1.024782181,1.015076756,1.019076228,1.025636792,1.021906018,1.020311236,1.025191069,1.031352401,1.019609571,1.012232065,1.024911404,1.031486511
6.81394,1.022390723,1.025194407,1.019801378,1.022277594,1.023079038,1.022487521,1.025194407,1.028287411,1.019579411,1.017056227,1.020280242,1.029139757,1.023079038,1.017686605,1.020566702,1.028287411,1.018138409,1.025194407,1.027403951,1.028287411,1.031647205,1.020027995,1.02346909,1.030019283,1.025097251,1.017308474,1.024834037,1.021357775,1.016524553,1.021106482,1.022390723,1.02497232,1.022320509,1.017228842,1.019579411,1.025194407,1.015058517,1.019035339,1.02551198,1.021862507,1.020280242,1.02512598,1.032107472,1.019579411,1.012222767,1.024846435,1.031647205
6.82227,1.022333145,1.025588036,1.01978004,1.022141695,1.022995353,1.022481322,1.025588036,1.028200746,1.01954937,1.017028451,1.020252585,1.029047489,1.022995353,1.017956734,1.0205158,1.028200746,1.01810503,1.025588036,1.027332306,1.028200746,1.031799436,1.019988537,1.023421049,1.028941035,1.025034666,1.017274857,1.024768949,1.021309257,1.016502023,1.021044612,1.022333145,1.024894476,1.022695661,1.017428279,1.01954937,1.025588036,1.01504004,1.018994451,1.025388479,1.021819234,1.020252585,1.025061727,1.032935143,1.01954937,1.012213588,1.024782181,1.031799436
6.8306,1.022276044,1.02596128,1.019756556,1.022006869,1.022912979,1.022474527,1.02596128,1.028114915,1.019519448,1.017004371,1.020228267,1.028956413,1.022912979,1.018210411,1.020465374,1.028114915,1.018071771,1.02596128,1.027260423,1.028114915,1.031950116,1.019948721,1.023374319,1.027949691,1.024972677,1.017243266,1.024704933,1.021260738,1.016479969,1.020982742,1.022276044,1.024816632,1.023088455,1.017641664,1.019519448,1.02596128,1.015021563,1.018953919,1.025266171,1.02177608,1.020228267,1.024998069,1.03383863,1.019519448,1.012204647,1.024718761,1.031950116
6.83893,1.022219658,1.026314139,1.019731402,1.021875739,1.022831678,1.022467017,1.026314139,1.028030038,1.019489765,1.016983747,1.020207047,1.02886641,1.022831678,1.018448353,1.020415664,1.028030038,1.018038869,1.026314139,1.027188182,1.028030038,1.032111883,1.019908547,1.02332902,1.027052522,1.024911165,1.017213464,1.024641871,1.021211982,1.016458392,1.020920277,1.022219658,1.024738908,1.023499012,1.01787734,1.019489765,1.026314139,1.015002847,1.018913507,1.025144815,1.021732926,1.020207047,1.024935126,1.034820437,1.019489765,1.012195826,1.024655819,1.032111883
6.84726,1.022163749,1.026649475,1.01970458,1.021743774,1.022751451,1.022458553,1.026649475,1.027946115,1.019460082,1.016966224,1.020188689,1.02877748,1.022751451,1.018675327,1.020366549,1.027946115,1.018006086,1.026649475,1.02711606,1.027946115,1.032283902,1.019868135,1.023285151,1.026253939,1.024850011,1.017185569,1.024579406,1.021163344,1.016437411,1.020857692,1.022163749,1.024661303,1.023910165,1.018139362,1.019460082,1.026649475,1.014984131,1.018873334,1.025024295,1.021689892,1.020188689,1.024872899,1.0358814,1.019460082,1.012187123,1.02459383,1.032283902
6.85559,1.022108674,1.026977897,1.01967597,1.021612167,1.022672415,1.022448778,1.026977897,1.027863383,1.019429088,1.016951561,1.020172954,1.028689861,1.022672415,1.018902063,1.020318151,1.027863383,1.017973781,1.026977897,1.027044177,1.027863383,1.032465577,1.019827366,1.023242354,1.025633931,1.024789333,1.017159343,1.024518251,1.021114588,1.016416907,1.02079308,1.022108674,1.024583936,1.024309158,1.018414497,1.019429088,1.026977897,1.014965415,1.01883328,1.02490449,1.021646738,1.020172954,1.024811506,1.037019849,1.019429088,1.01217854,1.024532795,1.032465577
6.86392,1.022054195,1.027298331,1.019645691,1.021481514,1.022594571,1.022437453,1.027298331,1.027781725,1.01939857,1.016939998,1.020159364,1.028603315,1.022594571,1.019129157,1.020270348,1.027781725,1.017941713,1.027298331,1.026972771,1.027781725,1.032642841,1.019786358,1.023201108,1.025174737,1.024729133,1.017134786,1.024457812,1.021065593,1.016396761,1.020728588,1.022054195,1.024506569,1.024688363,1.018707871,1.01939857,1.027298331,1.01494658,1.018793583,1.024785161,1.021603823,1.020159364,1.024751067,1.038228869,1.01939857,1.012170076,1.024472237,1.032642841
6.87225,1.02200067,1.027620673,1.019613862,1.021352053,1.0225178,1.02242434,1.027620673,1.027701259,1.019368291,1.01693058,1.020148039,1.028518438,1.0225178,1.019368649,1.02022326,1.027701259,1.017909884,1.027620673,1.02690196,1.027701259,1.032803178,1.019745231,1.023161054,1.024865985,1.02466917,1.017111778,1.024398565,1.021016359,1.016377211,1.020664096,1.02200067,1.024429083,1.025045395,1.019004703,1.019368291,1.027620673,1.014927626,1.018754244,1.024665952,1.021560788,1.020148039,1.024691463,1.039496541,1.019368291,1.012161851,1.024412751,1.032803178
6.88058,1.021947861,1.027950644,1.019580722,1.021223426,1.022441745,1.022409439,1.027950644,1.027621984,1.019337773,1.016923666,1.020138383,1.028434634,1.022441745,1.019621253,1.020176888,1.027621984,1.017878532,1.027950644,1.026831865,1.027621984,1.03293848,1.019703746,1.023121953,1.024700046,1.024609566,1.01709044,1.024340272,1.020966887,1.016358137,1.020599127,1.021947861,1.024352074,1.0253824,1.019296169,1.019337773,1.027950644,1.014908552,1.018715143,1.024546981,1.021517754,1.020138383,1.024632812,1.04080379,1.019337773,1.012153625,1.024354219,1.03293848
6.88891,1.021896005,1.028290391,1.019546151,1.021095753,1.022367001,1.022392511,1.028290391,1.027544022,1.019306898,1.016918898,1.020130277,1.028352261,1.022367001,1.019894242,1.02013123,1.027544022,1.017847538,1.028290391,1.026762843,1.027544022,1.033046007,1.019662142,1.023084044,1.024665952,1.024550438,1.017070532,1.024282932,1.020917058,1.016339421,1.020533323,1.021896005,1.024274945,1.025712729,1.019577026,1.019306898,1.028290391,1.014889598,1.0186764,1.024427772,1.021474719,1.020130277,1.024574757,1.04212451,1.019306898,1.012145519,1.024296403,1.033046007
