Time,Outage1,Outage2,Outage3,Outage4,Outage5,Outage6,Outage7,Outage8,Outage9,Outage10,Outage11,Outage12,Outage13,Outage14,Outage15,Outage16,Outage17,Outage18,Outage19,Outage20,Outage21,Outage22,Outage23,Outage24,Outage25,Outage26,Outage27,Outage28,Outage29,Outage30,Outage31,Outage32,Outage33,Outage34,Outage35,Outage36,Outage37,Outage38,Outage39,Outage40,Outage41,Outage42,Outage43,Outage44,Outage45,Outage46,Outage47,Outage48,Outage49,Outage50,Outage51,Outage52
4.54818,0.996263206,0.983929813,1.006651521,1.010880113,0.968216956,1.043783426,1.005740762,1.013456941,1.008064628,1.058784008,0.983929813,0.977787673,0.996263206,1.008440495,1.009431601,0.989678442,1.010964394,1.007782459,1.022416949,1.01872313,1.043783426,1.02497983,0.97189486,1.009979129,0.968216956,0.967020571,0.996263206,1.008774519,1.021808386,0.97383678,1.01872313,1.009988666,1.008768916,1.0080024,1.029768229,1.008768916,1.043783426,1.013406157,1.005997419,1.009857655,1.007822156,1.00827229,1.008960009,1.00798142,1.032128215,1.007782459,1.0080024,0.97383678,1.009334564,1.009431601,1.008768916,0.964590907
4.55651,0.996345639,0.983913898,1.006763697,1.01100266,0.968075037,1.044548869,1.00592041,1.013573527,1.008174539,1.059371114,0.983913898,0.977358937,0.996345639,1.0085814,1.009465218,0.989843369,1.01097405,1.007908463,1.022391558,1.018719316,1.044548869,1.02522707,0.971758842,1.010039687,0.968075037,0.966915429,0.996345639,1.008849502,1.021870017,0.973667979,1.018719316,1.010041118,1.008885503,1.008169651,1.029831171,1.008885503,1.044548869,1.013475299,1.006217122,1.009884238,1.00792408,1.008390188,1.009032607,1.008110762,1.032452106,1.007908463,1.008169651,0.973667979,1.009442806,1.009465218,1.008885503,0.964587629
4.56484,0.996447563,0.984029174,1.006880283,1.011116266,0.967925787,1.045307398,1.006108522,1.013681412,1.008286476,1.06006825,0.984029174,0.97807914,0.996447563,1.008722544,1.009498596,0.99001497,1.010989189,1.008035064,1.02235961,1.018695116,1.045307398,1.025437236,0.971638262,1.01009953,0.967925787,0.966794908,0.996447563,1.008925319,1.021910787,0.973488271,1.018695116,1.010093689,1.009003639,1.008331537,1.029866219,1.009003639,1.045307398,1.013545394,1.006440639,1.009911895,1.008025765,1.008509398,1.009106159,1.008241296,1.032795787,1.008035064,1.008331537,0.973488271,1.009550929,1.009498596,1.009003639,0.964566171
4.57317,0.996569633,0.984288812,1.007001042,1.011221647,0.967776179,1.046054602,1.006297946,1.013780355,1.008400321,1.061541915,0.984288812,0.980048358,0.996569633,1.008864164,1.009532213,0.990193248,1.011009932,1.008162022,1.022321701,1.018651724,1.046054602,1.025610685,0.97152859,1.010159016,0.967776179,0.966659188,0.996569633,1.009002209,1.021931529,0.973302066,1.018651724,1.010146141,1.009123683,1.008487701,1.029874802,1.009123683,1.046054602,1.013623238,1.006667852,1.009940863,1.008127332,1.008630276,1.009180784,1.008372545,1.033156633,1.008162022,1.008487701,0.973302066,1.009658575,1.009532213,1.009123683,0.964520872
4.5815,0.996712208,0.984695435,1.007126689,1.011318922,0.967634141,1.046785951,1.006491899,1.013869762,1.008516073,1.062384725,0.984695435,0.983188748,0.996712208,1.009005904,1.009565949,0.990378082,1.011035919,1.008289456,1.022278309,1.01859045,1.046785951,1.025747538,0.971423626,1.010218382,0.967634141,0.966512918,0.996712208,1.009079814,1.021933198,0.973114789,1.01859045,1.010198832,1.009245396,1.008638024,1.029858112,1.009245396,1.046785951,1.013697267,1.006898642,1.009970665,1.008229017,1.008752465,1.009256124,1.008504629,1.033531785,1.008289456,1.008638024,0.973114789,1.009765625,1.009565949,1.009245396,0.964451671
4.58983,0.996875405,0.985237956,1.007257104,1.011408687,0.967508018,1.047497988,1.00669086,1.013949871,1.008633375,1.06242466,0.985237956,0.987179041,0.996875405,1.009147406,1.009600163,0.990569413,1.011067033,1.008417487,1.022230148,1.018512845,1.047497988,1.025848508,0.97131592,1.010278106,0.967508018,0.966363192,0.996875405,1.009158373,1.021916866,0.972931683,1.018512845,1.010251284,1.009368539,1.008782268,1.029817462,1.009368539,1.047497988,1.01376915,1.007132888,1.010001898,1.00833118,1.008876204,1.009332657,1.008637428,1.033918858,1.008417487,1.008782268,0.972931683,1.009871602,1.009600163,1.009368539,0.964367151
4.59816,0.997059405,0.985889733,1.007392287,1.011491418,0.967404425,1.048179746,1.006894231,1.014020681,1.008751512,1.062507033,0.985889733,0.991458476,0.997059405,1.009288788,1.009635091,0.990760565,1.011102915,1.008545995,1.022177696,1.018422246,1.048179746,1.025914311,0.971199811,1.010338068,0.967404425,0.966218352,0.997059405,1.009237885,1.021883726,0.972758293,1.018422246,1.010303617,1.009493113,1.008920431,1.029754996,1.009493113,1.048179746,1.013838172,1.007370353,1.010034442,1.0084337,1.009001255,1.009410024,1.008770823,1.034311175,1.008545995,1.008920431,0.972758293,1.009976387,1.009635091,1.009493113,0.964270949
4.60649,0.997264206,0.986608267,1.007532358,1.011567354,0.967326522,1.04884088,1.007101417,1.014082551,1.008871078,1.062698245,0.986608267,0.995462954,0.997264206,1.009429693,1.009670615,0.990963459,1.011143446,1.00867486,1.022123218,1.018318057,1.04884088,1.025946379,0.971071839,1.010398984,0.967326522,0.966087103,0.997264206,1.009318352,1.02183485,0.972598493,1.018318057,1.010355592,1.009618759,1.009052157,1.02967155,1.009618759,1.04884088,1.013902783,1.007610083,1.010068297,1.008537173,1.009127617,1.009488463,1.008904815,1.034704328,1.00867486,1.009052157,0.972598493,1.010079384,1.009670615,1.009618759,0.964173436
4.61482,0.997480214,0.98734051,1.007677436,1.011637092,0.967270434,1.049471259,1.007312417,1.014135242,1.00899148,1.062491298,0.98734051,0.998753428,0.997480214,1.00957036,1.009707093,0.991174161,1.011188388,1.00880444,1.022065282,1.018201709,1.049471259,1.025945902,0.970931053,1.010460734,0.967270434,0.965976954,0.997480214,1.009399533,1.021771789,0.972455084,1.018201709,1.010407329,1.00974524,1.009177804,1.029569626,1.00974524,1.049471259,1.013960719,1.007852316,1.010103583,1.00864172,1.009255171,1.009567857,1.009039044,1.035093546,1.00880444,1.009177804,0.972455084,1.010180831,1.009707093,1.00974524,0.964084804
4.62315,0.997723997,0.988032162,1.007827163,1.011701345,0.967227697,1.050067186,1.007526755,1.01417923,1.009112954,1.061927438,0.988032162,1.001033425,0.997723997,1.00971055,1.009744763,0.991390705,1.011237144,1.008934498,1.022004366,1.018075705,1.050067186,1.025914431,0.970778346,1.010523677,0.967227697,0.965892136,0.997723997,1.009481668,1.021695852,0.972328424,1.018075705,1.010458589,1.009872437,1.009297371,1.029450417,1.009872437,1.050067186,1.014010072,1.008096933,1.0101403,1.008747458,1.009383798,1.009647965,1.009173632,1.035474539,1.008934498,1.009297371,0.972328424,1.010280252,1.009744763,1.009872437,0.964012742
4.63148,0.997989833,0.988635182,1.007981539,1.011760592,0.967189193,1.050625682,1.007743716,1.014214993,1.009235263,1.061385274,0.988635182,1.002186418,0.997989833,1.009850502,1.009783506,0.991612852,1.011289477,1.009064913,1.021941423,1.017941356,1.050625682,1.025853515,0.970616877,1.01058805,0.967189193,0.965831399,0.997989833,1.0095644,1.021609783,0.97221601,1.017941356,1.010509253,1.01000011,1.009410739,1.029315948,1.01000011,1.050625682,1.014049768,1.008343458,1.010178328,1.008854866,1.009513378,1.009728909,1.009308338,1.035843134,1.009064913,1.009410739,0.97221601,1.010377407,1.009783506,1.01000011,0.963960886
